PlotID,SpeciesName,StateName,Girth
Plot1,Tectona grandis,Maharashtra,142.3
Plot1,Caesalpinia decapetala,Maharashtra,128.9
Plot1,Butea monosperma,Maharashtra,126.2
Plot1,Caesalpinia decapetala,Maharashtra,119.7
Plot1,Tectona grandis,Maharashtra,117.7
Plot1,Tectona grandis,Maharashtra,97.5
Plot1,Tectona grandis,Maharashtra,88.5
Plot1,Terminalia arjuna,Maharashtra,81.1
Plot1,Caesalpinia decapetala,Maharashtra,79.1
Plot1,Terminalia arjuna,Maharashtra,78.2
Plot1,Terminalia arjuna,Maharashtra,75.4
Plot1,Caesalpinia decapetala,Maharashtra,67.2
Plot1,Terminalia arjuna,Maharashtra,59.6
Plot1,Tectona grandis,Maharashtra,45.3
Plot1,Tectona grandis,Maharashtra,38.2
Plot1,Butea monosperma,Maharashtra,37.5
Plot1,Tectona grandis,Maharashtra,33.4
Plot1,Tectona grandis,Maharashtra,30.7
Plot1,Diospyros melanoxylon,Maharashtra,29.1
Plot1,Cassia fistula,Maharashtra,22.9
Plot1,Tectona grandis,Maharashtra,19.1
Plot1,Holorrhena pubescens,Maharashtra,18.9
Plot1,Cassia fistula,Maharashtra,18.7
Plot1,Tectona grandis,Maharashtra,18.7
Plot1,Tectona grandis,Maharashtra,18.6
Plot1,Cassia fistula,Maharashtra,17.7
Plot1,Holorrhena pubescens,Maharashtra,17.6
Plot1,Diospyros melanoxylon,Maharashtra,17.2
Plot1,Holorrhena pubescens,Maharashtra,17.2
Plot1,Cassia fistula,Maharashtra,16.6
Plot1,Holorrhena pubescens,Maharashtra,16.1
Plot1,Tectona grandis,Maharashtra,15.7
Plot1,Holorrhena pubescens,Maharashtra,15.3
Plot1,Holorrhena pubescens,Maharashtra,13.7
Plot1,Holorrhena pubescens,Maharashtra,13.4
Plot2,Caesalpinia decapetala,Maharashtra,132.3
Plot2,Tectona grandis,Maharashtra,118.6
Plot2,Caesalpinia decapetala,Maharashtra,100.1
Plot2,Tectona grandis,Maharashtra,98.6
Plot2,Tectona grandis,Maharashtra,97.3
Plot2,Lagerstroemia parviflora,Maharashtra,97.1
Plot2,Terminalia arjuna,Maharashtra,87.6
Plot2,Lagerstroemia parviflora,Maharashtra,79.2
Plot2,Tectona grandis,Maharashtra,57.3
Plot2,Tectona grandis,Maharashtra,56
Plot2,Butea monosperma,Maharashtra,53.1
Plot2,Tectona grandis,Maharashtra,50.9
Plot2,Butea monosperma,Maharashtra,47.6
Plot2,Tectona grandis,Maharashtra,43.8
Plot2,Lagerstroemia parviflora,Maharashtra,40.4
Plot2,Tectona grandis,Maharashtra,38.7
Plot2,Butea monosperma,Maharashtra,37.8
Plot2,Tectona grandis,Maharashtra,35.1
Plot2,Tectona grandis,Maharashtra,34.7
Plot2,Tectona grandis,Maharashtra,32.9
Plot2,Tectona grandis,Maharashtra,31.8
Plot2,Butea monosperma,Maharashtra,31.4
Plot2,Tectona grandis,Maharashtra,29.8
Plot2,Tectona grandis,Maharashtra,29.2
Plot2,Holorrhena pubescens,Maharashtra,28.7
Plot2,Butea monosperma,Maharashtra,28.6
Plot2,Tectona grandis,Maharashtra,28.4
Plot2,Tectona grandis,Maharashtra,27.4
Plot2,Tectona grandis,Maharashtra,27.3
Plot2,Tectona grandis,Maharashtra,27.3
Plot2,Tectona grandis,Maharashtra,27.2
Plot2,Butea monosperma,Maharashtra,25.4
Plot2,Tectona grandis,Maharashtra,22.8
Plot2,Helicteres isora,Maharashtra,22.7
Plot2,Holorrhena pubescens,Maharashtra,22.1
Plot2,Tectona grandis,Maharashtra,22.1
Plot2,Cassia fistula,Maharashtra,21.4
Plot2,Holorrhena pubescens,Maharashtra,19.2
Plot2,Morinda citrifolia,Maharashtra,16.2
Plot2,Tectona grandis,Maharashtra,16.1
Plot2,Cassia fistula,Maharashtra,15.6
